"ATC","Estimate","Class_Median","Non_Class_Median","P","N","Name","Panel","P.FDR","P.FDR_all"
"L01D",1462.99995224364,-0.0344285710627176,0.00146489757192891,4.82799233557045e-11,67,"cytotoxic antibiotics and related substances","Brain_Amygdala",6.32466995959729e-09,2.40337458464697e-08
"L01X",293.499967465226,-0.00622556480928264,0.0023995452903023,2.87807187487487e-06,864,"other antineoplastic agents","Brain_Amygdala",0.000188513707804304,0.000377027415608608
"D05A",928.000055313373,-0.0204532492007657,0.0012202310290866,0.00069769991578436,37,"antipsoriatics for topical use","Brain_Amygdala",0.0304662296559171,0.0299453887242143
"L01D",1297.99995431624,-0.0236024371353442,0.00438094082603208,4.56965205344429e-09,67,"cytotoxic antibiotics and related substances","Brain_Anterior_cingulate_cortex_BA24",5.98624419001202e-07,1.42173299512785e-06
"M01A",698.999922957102,-0.010422947518018,0.0042734525585447,0.000452720572987448,72,"antiinflammatory and antirheumatic products, non-steroids","Brain_Anterior_cingulate_cortex_BA24",0.0296531975306778,0.0220945393365835
"L01X",194.500014555118,0.00154812760051604,0.0046701643516039,0.00121260990275803,864,"other antineoplastic agents","Brain_Anterior_cingulate_cortex_BA24",0.052950632420434,0.0451179445580205
"L01D",1861.4999610693,-0.0289787893311981,0.00104958571672137,1.69056195353688e-18,67,"cytotoxic antibiotics and related substances","Brain_Caudate_basal_ganglia",2.21463615913331e-16,4.20780870235329e-15
"L01X",196.00004784593,4.39882940447815e-05,0.00101917243008714,0.0012145047349889,864,"other antineoplastic agents","Brain_Caudate_basal_ganglia",0.0795500601417729,0.0451179445580205
"C10A",917.999979200433,-0.0104216074450286,0.00122787191464441,1.04030130931104e-07,102,"lipid modifying agents, plain","Brain_Cerebellar_Hemisphere",1.36279471519746e-05,2.58930995887518e-05
"D05A",1141.99998248747,-0.0158034911461876,0.00102762019248471,4.46904728252674e-05,37,"antipsoriatics for topical use","Brain_Cerebellar_Hemisphere",0.00292722597005501,0.00338519206849359
"A11C",1140.99996522207,-0.014555474506127,0.00100123272644969,0.000709834445451444,25,"vitamin a and d, incl. combinations of the two","Brain_Cerebellar_Hemisphere",0.0309961041180464,0.0299453887242143
"D07A",652.499942169744,-0.00209408359987511,0.00593989471069884,2.76143238770426e-05,121,"corticosteroids, plain","Brain_Cerebellum",0.00361747642789258,0.00237007076310204
"R03B",837.999984424635,-0.0178369942212934,-0.00367690681307679,0.000645697705410222,45,"other drugs for obstructive airway diseases, inhalants","Brain_Cortex",0.064937866950562,0.0297618812734452
"D07A",488.499924536139,-0.0123010848899228,-0.00367690681307679,0.00129782151773759,121,"corticosteroids, plain","Brain_Cortex",0.064937866950562,0.0475040846713068
"L01D",1343.0000258666,-0.0182682120965303,-0.00105441263730208,1.21354345389615e-10,67,"cytotoxic antibiotics and related substances","Brain_Frontal_Cortex_BA9",1.58974192460396e-08,5.03418276124586e-08
"L02B",866.500031220307,-0.0138614160888504,-0.00112993715512298,1.88537507929683e-06,89,"hormone antagonists and related agents","Brain_Frontal_Cortex_BA9",0.000123492067693942,0.000276041092492342
"L01X",264.499952485409,-0.00521354478316643,-0.000668088382312299,2.18438629349731e-05,864,"other antineoplastic agents","Brain_Frontal_Cortex_BA9",0.000953848681493825,0.0020136805498203
"G03G",1401.99994594646,-0.0210264308837612,-0.00113739382988159,0.000194317509663673,19,"gonadotropins and other ovulation stimulants","Brain_Frontal_Cortex_BA9",0.00636389844148529,0.0115156257512591
"N05A",465.000031430013,-0.00738452900621075,-0.00112993715512298,0.00031369384086148,169,"antipsychotics","Brain_Frontal_Cortex_BA9",0.00821877863057078,0.0164815058683848
"L04A",521.000035876527,-0.00720076280651107,-0.00112993715512298,0.000391572907308865,134,"immunosuppressants","Brain_Frontal_Cortex_BA9",0.00854934180957688,0.0198903054345258
"J02A",710.499926506679,-0.0123200303743769,-0.00113153726775785,0.00120244750782969,60,"antimycotics for systemic use","Brain_Frontal_Cortex_BA9",0.0225029462179556,0.0451179445580205
"D07A",620.000010088994,-0.0104183356726029,-0.000957210190577797,7.78105878379381e-05,121,"corticosteroids, plain","Brain_Hippocampus",0.00963870872138312,0.00509659350338495
"L02B",703.999998593115,-0.0186780764110231,-0.00104762540097564,0.000147155858341727,89,"hormone antagonists and related agents","Brain_Hippocampus",0.00963870872138312,0.00939156234391176
