"Tissue","ALL_Count","ALL_Link","EUR_Count","EUR_Link","weight_id"
"Adipose - Subcutaneous",581,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Adipose_Subcutaneous.tar.gz",479,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Adipose_Subcutaneous.tar.gz","Adipose_Subcutaneous"
"Adipose - Visceral (Omentum)",469,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Adipose_Visceral_Omentum.tar.gz",393,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Adipose_Visceral_Omentum.tar.gz","Adipose_Visceral_Omentum"
"Adrenal Gland",233,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Adrenal_Gland.tar.gz",194,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Adrenal_Gland.tar.gz","Adrenal_Gland"
"Artery - Aorta",387,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Artery_Aorta.tar.gz",329,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Artery_Aorta.tar.gz","Artery_Aorta"
"Artery - Coronary",213,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Artery_Coronary.tar.gz",175,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Artery_Coronary.tar.gz","Artery_Coronary"
"Artery - Tibial",584,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Artery_Tibial.tar.gz",476,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Artery_Tibial.tar.gz","Artery_Tibial"
"Brain - Amygdala",129,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Amygdala.tar.gz",119,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Amygdala.tar.gz","Brain_Amygdala"
"Brain - Anterior cingulate cortex (BA24)",147,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Anterior_cingulate_cortex_BA24.tar.gz",135,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Anterior_cingulate_cortex_BA24.tar.gz","Brain_Anterior_cingulate_cortex_BA24"
"Brain - Caudate (basal ganglia)",194,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Caudate_basal_ganglia.tar.gz",172,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Caudate_basal_ganglia.tar.gz","Brain_Caudate_basal_ganglia"
"Brain - Cerebellar Hemisphere",175,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Cerebellar_Hemisphere.tar.gz",157,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Cerebellar_Hemisphere.tar.gz","Brain_Cerebellar_Hemisphere"
"Brain - Cerebellum",209,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/ALL/GTExv8.ALL.Brain_Cerebellum.tar.gz",188,"https://s3.us-west-1.amazonaws.com/gtex.v8.fusion/EUR/GTExv8.EUR.Brain_Cerebellum.tar.gz","Brain_Cerebellum"
